,user,text,scores,compound,user,text,scores,compound
51,BarackObama,This is worth a read: a thought-provoking reminder that education reform isn’t a cure-all. As a supporter of educat… https://t.co/sP7Q1oJSl5,"{'neg': 0.0, 'neu': 0.778, 'pos': 0.222, 'compound': 0.4588}",0.4588,KimKardashian,Celebrate my 39th birthday with 39% off @kkwfragrance sitewide at https://t.co/tbQezJs782! Exclusions apply. Ends t… https://t.co/19QzyA5G9a,"{'neg': 0.0, 'neu': 0.79, 'pos': 0.21, 'compound': 0.6114}",0.6114
52,BarackObama,"Yes we can, Greta. I’m hopeful because of you and all the young people who are fighting to protect the planet. Keep… https://t.co/trOVzMi4Nr","{'neg': 0.083, 'neu': 0.631, 'pos': 0.286, 'compound': 0.7269}",0.7269,KimKardashian,Celebrate my 39th Birthday with 39% off my @kkwbeauty must-haves! Ends tonight at 11:59PM PST at… https://t.co/TmGdb4PJUy,"{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.6114}",0.6114
53,BarackObama,"Happy Father’s Day to Charles, one of our @ObamaFoundation Fellows, and all the dads at Fathers’ Uplift. Today, we’… https://t.co/l5IrsoIuop","{'neg': 0.0, 'neu': 0.837, 'pos': 0.163, 'compound': 0.5719}",0.5719,KimKardashian,"TODAY ONLY: To celebrate my 39th Birthday, all of my essential @skims Underwire Bras are $39! Ends tonight at 11:59… https://t.co/MGGdHFxQHa","{'neg': 0.0, 'neu': 0.834, 'pos': 0.166, 'compound': 0.6114}",0.6114
54,BarackObama,RT @ObamaFoundation: These young people want to take action and make a change. Through the #CommunityLeadership Corps in Chicago and Hartfo…,"{'neg': 0.0, 'neu': 0.936, 'pos': 0.064, 'compound': 0.0772}",0.0772,KimKardashian,awww I love this!!! https://t.co/HLemF5dvDC,"{'neg': 0.0, 'neu': 0.371, 'pos': 0.629, 'compound': 0.7249}",0.7249
55,BarackObama,The @USWNT is something to smile about. It was great to celebrate with them back in 2015 and I'm excited to root th… https://t.co/WMEvpsFGin,"{'neg': 0.0, 'neu': 0.612, 'pos': 0.388, 'compound': 0.9136}",0.9136,KimKardashian,thank you so much!!! https://t.co/gyyrdAQyOq,"{'neg': 0.0, 'neu': 0.542, 'pos': 0.458, 'compound': 0.5229}",0.5229
56,BarackObama,"Six years ago, David Ortiz's spirit and resolve helped us all begin to heal from the Boston Marathon bombing. Today… https://t.co/u3QgBv80aK","{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.5106}",0.5106,KimKardashian,RT @PhotosOfKanye: Kim telling Saint the story of when her and Kanye got engaged🥺♥️ #KUWTK https://t.co/Z2whfBK36B,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
57,BarackObama,"Last week, it was Virginia Beach. But day after day and year after year, too many families and communities are shat… https://t.co/oscI8f9xFv","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,KimKardashian,♥️ https://t.co/pwtJWLpiiI,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
58,BarackObama,"RT @ObamaFoundation: Courage is contagious. Watch some of the courageous students who won our first-ever Civic Action Recognition Awards, h…","{'neg': 0.078, 'neu': 0.489, 'pos': 0.433, 'compound': 0.8979}",0.8979,KimKardashian,RT @badtoyoubabe: @KimKardashian The engagement was so girgeous. One of my favourite episodes ever. Kanye is do thoughtful,"{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.6808}",0.6808
59,BarackObama,"You've got a lot to be proud of, Jiwandeep. Thanks for everything you do to make this country a little more equal.… https://t.co/qw8I8io4pc","{'neg': 0.0, 'neu': 0.76, 'pos': 0.24, 'compound': 0.7184}",0.7184,KimKardashian,RT @badtoyoubabe: @KimKardashian I love the fact u and Kanye gave such a public - private life balance. I feel like it’s made you whole rel…,"{'neg': 0.0, 'neu': 0.739, 'pos': 0.261, 'compound': 0.7717}",0.7717
60,BarackObama,What a life. American history has always been driven by visionaries like Leah Chase—and all the men and women who w… https://t.co/XHnhWiluN2,"{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.3612}",0.3612,KimKardashian,RT @HollywoodLife: .@KimKardashian and Kanye West celebrated their five-year wedding anniversary with the sweetest vow renewal ceremony on…,"{'neg': 0.0, 'neu': 0.821, 'pos': 0.179, 'compound': 0.5719}",0.5719
